City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Koupela,BF,76.48,light rain,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
475,Kumluca,TR,88.23,clear sky,36.3703,30.2869,TurkuazKöy
476,Turukhansk,RU,75.58,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
483,Bandarbeyla,SO,81.68,overcast clouds,9.4942,50.8122,JABIR HOTEL
484,Auki,SB,82.8,overcast clouds,-8.7676,160.7034,Auki Motel
485,Shizunai,JP,78.55,broken clouds,42.3339,142.3669,Shizunai Eclipse Hotel
488,Qostanay,KZ,79.09,clear sky,53.1667,63.5833,Hotel Fessla
489,Omboue,GA,73.76,overcast clouds,-1.5746,9.2618,Hotel Olako
490,Naze,JP,85.12,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
491,Buraydah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
493,Samana,DO,76.6,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
494,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
497,Ikot Ekpene,NG,73.33,overcast clouds,5.1794,7.7108,Four Points Hotel
503,Nabire,ID,86.9,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
504,Vanimo,PG,84.83,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
505,Havelock,US,77.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
506,Jaisalmer,IN,86.34,overcast clouds,26.9147,70.9181,Hotel Fifu
507,Libreville,GA,75.22,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
508,Qesarya,IL,75.51,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
512,Bazarnyye Mataki,RU,79.11,clear sky,54.8833,49.9333,Td Olimp
517,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
520,Toledo,ES,74.08,scattered clouds,39.8333,-4.0,Hotel Carlos V Toledo
522,Russell,US,73.0,light intensity drizzle,32.3502,-85.1999,Macs
523,Mahibadhoo,MV,81.91,overcast clouds,3.7833,72.9667,Omadhoo Inn
525,Pochutla,MX,75.69,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
527,Yuncheng,CN,88.48,scattered clouds,35.0231,110.9928,晋州快捷酒店
535,Mozarlandia,BR,72.46,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
536,Osmena,PH,84.7,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
537,Lucea,JM,82.26,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
538,Banjar,ID,80.46,few clouds,-8.19,114.9675,The Hamsa Resort
539,Qujing,CN,75.9,clear sky,25.4833,103.7833,Yulong Hotel
540,Aksu,CN,84.4,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
543,Clarence Town,AU,71.82,clear sky,-32.5833,151.7833,River Downs Cottage
546,Rincon,US,76.91,broken clouds,32.296,-81.2354,Days Inn Rincon
550,Bahia De Caraquez,EC,73.58,broken clouds,-0.6,-80.4167,La Piedra Hotel
551,Wainwright,CA,76.28,light rain,52.839,-110.8572,Ramada by Wyndham Wainwright
555,Kiunga,PG,83.46,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
560,Huautla,MX,72.73,overcast clouds,21.0333,-98.2833,Hotel Huautla
561,Mecca,SA,88.86,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
562,Muncar,ID,79.9,broken clouds,-8.4333,114.3333,Zaky Homestay
565,Erenhot,CN,81.97,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
567,Novo Aripuana,BR,73.92,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
570,Mubi,NG,71.33,overcast clouds,10.2676,13.2644,Hotel
571,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
572,Binzhou,CN,84.25,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
