City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Cameta,BR,75.38,scattered clouds,-2.2444,-49.4958,Hotel San Juan
629,Graham,US,79.92,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
637,Unhel,IN,73.83,light rain,23.3333,75.5667,Dhakad Dharmashala
638,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
639,Nantai,CN,81.55,light rain,40.9241,122.8044,Sanjiang Hotel
643,Playa Vicente,MX,76.23,overcast clouds,17.8333,-95.8167,"Hotel ""Imperio"""
645,Great Falls,US,74.59,overcast clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
650,Westport,US,73.54,broken clouds,41.1415,-73.3579,The Westport Inn
652,Keti Bandar,PK,82.29,overcast clouds,24.1447,67.4497,Haji laloo memon house
653,Darnah,LY,83.86,clear sky,32.767,22.6367,فندق الفردوس
655,Cotonou,BJ,76.44,light rain,6.3654,2.4183,Novotel Cotonou Orisha
658,Parnamirim,BR,71.94,broken clouds,-5.9156,-35.2628,Pousada Joaci
659,Harlingen,US,85.32,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
660,Cukai,MY,87.94,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
661,Kresek,ID,89.71,scattered clouds,-6.1314,106.3797,Kamar aldi
663,Fairbanks,US,87.76,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
665,Phuket,TH,86.22,light rain,8.0,98.25,The Surin Phuket
669,Bijapur,IN,75.18,overcast clouds,16.8333,75.7,Arihant Colony
672,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
673,Chhuikhadan,IN,77.13,overcast clouds,21.5333,80.9833,All Day Library
676,Buala,SB,80.96,light rain,-8.145,159.5921,Maringe Lagoon Lodge
