City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Barbastro,ES,2021-07-30 03:27:47,42.0356,0.1269,70.34,64,0,1.9
116,Fortuna,US,2021-07-30 03:27:47,40.5982,-124.1573,55.33,93,90,8.05
117,Olafsvik,IS,2021-07-30 03:23:15,64.8945,-23.7142,52.7,87,99,5.03
118,Sao Joao Da Barra,BR,2021-07-30 03:27:48,-21.6403,-41.0511,60.1,62,0,18.77
119,Dikson,RU,2021-07-30 03:27:48,73.5069,80.5464,41.27,96,100,13.8
120,Beloha,MG,2021-07-30 03:27:48,-25.1667,45.05,64.0,77,5,4.36
121,Marsabit,KE,2021-07-30 03:27:50,2.3284,37.9899,57.72,81,94,16.98
122,Rocha,UY,2021-07-30 03:27:50,-34.4833,-54.3333,38.97,84,6,4.54
123,Arraial Do Cabo,BR,2021-07-30 03:27:51,-22.9661,-42.0278,62.94,57,98,20.65
124,Dongsheng,CN,2021-07-30 03:27:52,39.8161,109.9776,84.87,19,0,8.7
125,Bereda,ES,2021-07-30 03:27:52,43.2686,-7.5406,59.0,100,12,1.97
126,Kodiak,US,2021-07-30 03:27:52,57.79,-152.4072,58.51,58,90,3.44
127,Castro,BR,2021-07-30 03:27:53,-24.7911,-50.0119,33.06,63,2,3.83
128,Bethel,US,2021-07-30 03:25:36,41.3712,-73.414,72.1,91,40,4.61
129,Carnarvon,AU,2021-07-30 03:27:53,-24.8667,113.6333,71.67,61,88,16.11
130,Roald,NO,2021-07-30 03:27:53,62.5833,6.1333,60.91,82,20,14.97
131,Toktogul,KG,2021-07-30 03:27:54,41.8708,72.9402,75.94,41,51,2.55
132,Lock Haven,US,2021-07-30 03:27:54,41.137,-77.4469,75.69,97,13,4.43
133,Prince Rupert,CA,2021-07-30 03:27:54,54.3161,-130.3201,66.29,82,1,5.75
134,Atar,MR,2021-07-30 03:27:55,20.5169,-13.0499,81.84,48,54,7.85
135,Farafangana,MG,2021-07-30 03:27:55,-22.8167,47.8333,68.11,76,96,3.94
136,Santiago De Cuba,CU,2021-07-30 03:27:55,20.0247,-75.8219,80.71,83,20,3.44
137,Governador Dix-Sept Rosado,BR,2021-07-30 03:27:56,-5.4577,-37.5209,74.82,79,39,11.05
138,Mangai,CD,2021-07-30 03:27:56,-4.05,19.5333,68.14,35,29,1.79
139,Eyl,SO,2021-07-30 03:27:56,7.9803,49.8164,77.49,68,100,18.99
140,Camaqua,BR,2021-07-30 03:27:57,-30.8511,-51.8122,38.64,77,6,4.21
141,Ossora,RU,2021-07-30 03:27:57,59.2353,163.0719,52.65,81,100,4.27
142,Khani,GE,2021-07-30 03:27:57,41.9563,42.9566,58.57,85,15,3.94
143,Iqaluit,CA,2021-07-30 03:27:58,63.7506,-68.5145,47.93,81,75,0.0
144,Butaritari,KI,2021-07-30 03:27:58,3.0707,172.7902,83.71,71,12,10.76
145,Kondinskoye,RU,2021-07-30 03:27:58,59.6481,67.41,52.07,70,42,5.97
146,San Onofre,CO,2021-07-30 03:27:59,9.7359,-75.5263,78.57,90,96,5.97
147,Thrissur,IN,2021-07-30 03:27:59,10.5167,76.2167,81.28,77,100,2.53
148,Kanashevo,RU,2021-07-30 03:27:59,55.2169,62.0634,68.56,55,100,12.06
149,Patuli,IN,2021-07-30 03:28:00,23.55,88.25,78.51,93,100,15.61
150,Kapit,MY,2021-07-30 03:28:01,2.0167,112.9333,89.19,60,76,2.1
151,Sisimiut,GL,2021-07-30 03:28:01,66.9395,-53.6735,48.38,77,82,2.95
152,Labytnangi,RU,2021-07-30 03:28:01,66.6572,66.4183,50.5,92,100,14.92
153,Kuusamo,FI,2021-07-30 03:28:01,65.9667,29.1833,50.04,93,90,9.22
154,Yenagoa,NG,2021-07-30 03:28:02,4.9247,6.2642,73.58,90,100,4.0
155,Baruun-Urt,MN,2021-07-30 03:28:02,46.6806,113.2792,77.13,49,0,6.31
156,Trebechovice Pod Orebem,CZ,2021-07-30 03:28:02,50.201,15.9922,63.36,99,57,2.46
157,Polunochnoye,RU,2021-07-30 03:28:03,60.8697,60.4153,51.55,66,81,3.31
158,Coquimbo,CL,2021-07-30 03:28:03,-29.9533,-71.3436,49.73,87,90,3.44
159,Waikuku,NZ,2021-07-30 03:28:03,-43.3,172.6833,59.58,70,40,9.35
160,Khatanga,RU,2021-07-30 03:28:04,71.9667,102.5,87.37,34,3,12.93
161,Bati,ET,2021-07-30 03:28:04,11.1833,40.0167,66.79,75,97,7.9
162,Makakilo City,US,2021-07-30 03:28:04,21.3469,-158.0858,86.32,56,20,10.36
163,Huarmey,PE,2021-07-30 03:28:05,-10.0681,-78.1522,64.96,85,56,7.63
164,Erie,US,2021-07-30 03:27:08,42.7667,-78.6664,69.22,89,12,4.03
165,Killybegs,IE,2021-07-30 03:28:05,54.6333,-8.45,55.45,90,100,7.27
166,Asmara,ER,2021-07-30 03:28:06,15.3333,38.9333,61.2,81,92,5.86
